"Rank","Colors","CMC","Name","Rarity","Type","Card Kingdom","TCGPlayer","Face to Face","Cardmarket","CardTrader","Cardhoarder","Salt","Decks"
"20","W,U,B,R,G","5","Kenrith, the Returned King","mythic","Creature","1.49","0.51","1.06","0.72","0.9","0.02","1.0920000000000005","31604"
"21","R,G,W","5","Cloud, Ex-SOLDIER","mythic","Creature","0.99","1.51","1.06","0.78","0.34","1.94","0.7021276595744682","31457"
"22","B,R,G","4","Hearthhull, the Worldseed","mythic","Artifact","0.99","1.04","1.06","0.76","0.47","undefined","0.46153846153846156","31305"
"23","U,B,R","5","Kefka, Court Mage","mythic","Creature","9.49","6.09","9.99","5.6","7.3","0.02","1.223214285714286","31154"
"24","B,R","4","Valgavoth, Harrower of Souls","mythic","Creature","29.99","22.46","27.85","17.95","29.72","0.97","0.7624999999999998","30716"
"25","R,W,B","3","Isshin, Two Heavens as One","rare","Creature","3.49","4","3.21","2.73","3.08","0.02","0.6521739130434784","30565"
"26","B","3","Sephiroth, Fabled SOLDIER","mythic","Creature","42.99","29.11","39.28","28.97","36.41","0.74","1.4278350515463911","30392"
"27","R,G,W","3","Baylen, the Haymaker","rare","Creature","1.49","1.08","1.42","0.5","0.7","0.02","0.9186991869918701","29816"
"28","G,U,R","6","Miirym, Sentinel Wyrm","rare","Creature","4.49","4.6","4.28","5.27","7.58","12.6","1.784844384303112","28508"
"29","B,G","3","Chatterfang, Squirrel General","mythic","Creature","13.99","10.31","14.28","7.11","8.13","0.02","0.9568965517241378","27777"
"30","W,U,B,R,G","5","Ulalek, Fused Atrocity","mythic","Creature","0.99","0.94","1.06","0.23","0.38","0.02","1.320328542094455","27626"
"31","W,B","2","Frodo, Adventurous Hobbit // Sam, Loyal Attendant","mythic","Creature","0.99","0.31","1.06","0.51","0.42","1.37","0.4155844155844156","26921"
"32","W,U,B","2","Hashaton, Scarab's Fist","mythic","Creature","0.99","0.82","1.06","1.02","0.59","3.11","0.6736111111111112","26884"
"33","W,U,B,R,G","3","Ashling, the Limitless","mythic","Creature","0.99","0.46","0.71","0.6","0.46","undefined","undefined","26244"
"34","R,G","3","Bello, Bard of the Brambles","mythic","Creature","1.99","2.9","2.14","3.41","1.81","undefined","0.6","26239"
"35","W,U,B,R,G","3","Esika, God of the Tree","mythic","Creature","22.99","15.88","23.57","11.51","17.61","0.02","1.1523178807947019","25991"
"36","G,U","4","Hakbal of the Surging Soul","mythic","Creature","0.99","0.39","1.06","0.94","0.76","undefined","0.7395833333333331","25268"
"37","B,G,U","6","Muldrotha, the Gravetide","mythic","Creature","1.49","0.59","1.42","0.86","0.82","0.02","0.903921568627451","25201"
"38","R,G,W","4","Rin and Seri, Inseparable","mythic","Creature","29.99","28.87","28.57","3.2","16.26","0.02","0.5","24779"
"39","B,G,U","3","Glarb, Calamity's Augur","mythic","Creature","4.99","4.21","4.99","4.24","5.37","0.03","0.3636363636363637","24264"
"40","G,U,R","3","Animar, Soul of Elements","mythic","Creature","27.99","28.18","27.85","23.79","35.9","0.11","1.0454545454545454","23479"
"41","R,G,W,U","4","Aragorn, the Uniter","mythic","Creature","7.49","6.46","7.14","5.42","7.27","0.02","0.7543859649122807","23136"
"42","G,W,U","4","Arcades, the Strategist","mythic","Creature","3.99","2.64","3.56","1.67","2.6","0.02","0.8235294117647058","23117"
"43","B,G","5","Ygra, Eater of All","mythic","Creature","15.99","12.31","14.99","7.58","9.42","0.14","0.9285714285714286","22977"
"44","W,B,G","4","The Necrobloom","rare","Creature","0.49","0.35","0.54","0.23","0.23","0.02","0.6494845360824741","22912"
"45","G,U,R","3","Flubs, the Fool","mythic","Creature","2.29","3.19","2.49","0.74","1.54","6.58","0.5555555555555556","22827"
"46","R,W,B","3","Mr. House, President and CEO","mythic","Creature","0.99","2.02","1.06","4.9","0.58","2.08","0.8846153846153846","22821"
"47","R,W,B","4","Caesar, Legion's Emperor","mythic","Creature","5.99","7.26","6.42","0.44","7.34","undefined","0.4824561403508771","22731"
"48","R,W","2","Arabella, Abandoned Doll","uncommon","Creature","0.99","0.62","1.42","0.36","0.56","0.03","0.5454545454545453","22654"
"49","W,U,B,R","4","Breya, Etherium Shaper","mythic","Creature","0.99","0.4","1.06","0.37","0.38","0.02","0.23529411764705882","22485"
"50","U,B","4","Wilhelt, the Rotcleaver","mythic","Creature","8.99","8.72","9.99","2.01","11.83","3.6","0.5185185185185185","22467"
"51","B,G,U","5","Maralen, Fae Ascendant","rare","Creature","0.49","0.48","0.54","0.4","0.33","0.02","undefined","22441"
"52","W,U,B","6","Oloro, Ageless Ascetic","mythic","Creature","19.99","17.12","19.99","10.01","12.15","0.02","1.138636363636365","22336"
"53","B,G","4","Meren of Clan Nel Toth","mythic","Creature","2.99","2.14","2.85","0.7","2.09","2.28","0.7395209580838322","22209"
"54","B,R","4","Kuja, Genome Sorcerer","rare","Creature","1.79","1.34","1.78","0.8","1.1","0.02","0.6771653543307085","22099"
"55","G,U,R","7","Ureni of the Unwritten","mythic","Creature","10.99","17.14","11.42","13.84","13","undefined","0.8527607361963189","21986"
"56","G,U","2","Kinnan, Bonder Prodigy","mythic","Creature","19.99","15.54","19.28","10.6","19.55","0.02","2.1463087248322186","21668"
"57","W,B","4","Teysa Karlov","rare","Creature","2.99","1.92","2.85","1.11","1.4","0.02","0.534031413612566","21522"
"58","R,G,W","8","Gishath, Sun's Avatar","mythic","Creature","2.79","2.71","2.85","4.19","5.68","0.02","0.9307228915662651","21327"
"59","","6","Zhulodok, Void Gorger","mythic","Creature","37.99","44.55","39.28","4.53","54","5.24","1.3677758318739053","21236"
"60","W,U,B,R,G","5","Tom Bombadil","mythic","Creature","3.49","2.69","3.21","3.16","3.85","0.02","0.42857142857142855","21224"
"61","G,W,U","3","Tidus, Yuna's Guardian","mythic","Creature","0.99","2.73","1.06","1.62","0.38","1.62","0.45360824742268024","21167"
"62","R,G,W","4","Atla Palani, Nest Tender","mythic","Creature","0.99","1.11","1.06","0.46","0.5","0.22","0.5517241379310345","21094"
"63","B,R,G","5","Korvold, Fae-Cursed King","mythic","Creature","1.49","0.46","1.42","1.16","0.75","0.02","1.6494156928213697","21014"
"64","W,U","4","Shorikai, Genesis Engine","mythic","Artifact","4.99","2.56","4.99","2.64","4.1","8.07","0.5736040609137057","20964"
"65","R,W,B","3","Zurgo Stormrender","mythic","Creature","1.49","5.04","1.06","3.55","1.57","undefined","0.2777777777777778","20837"
"66","W,U,B,R,G","4","Go-Shintai of Life's Origin","mythic","Creature","12.99","8.04","12.85","10.22","10.42","3.08","0.5549132947976877","20595"
"67","U","4","Urza, Lord High Artificer","mythic","Creature","19.99","15.67","19.99","6.26","16.27","0.11","2.3114543114543133","20566"
"68","W,B,G","4","Felothar the Steadfast","mythic","Creature","1.99","3.12","1.42","2.71","1.8","undefined","0.3274336283185841","20488"
"69","B","7","K'rrik, Son of Yawgmoth","rare","Creature","1.99","0.93","2.14","0.74","0.84","0.02","1.2813333333333332","20436"
"70","R,W,B","4","Queen Marchesa","rare","Creature","1.99","1.12","2.14","0.67","0.95","1.5","0.3655913978494624","20433"
"71","W,U,B,R,G","2","The Wandering Minstrel","rare","Creature","0.49","0.38","0.54","0.18","0.26","0.02","0.5544554455445545","20397"
"72","W,U,B,R,G","4","Avatar Aang","mythic","Creature","3.49","3.22","46.43","3.39","2.61","0.02","undefined","20143"
"73","G,W,U","3","Helga, Skittish Seer","mythic","Creature","3.99","3.57","4.28","3.84","4.01","0.12","0.27586206896551724","20119"
"74","B,G,U","4","Zaxara, the Exemplary","mythic","Creature","1.49","2.25","1.42","0.57","1.85","2.74","0.4117647058823529","20116"
"75","G,W,U","4","Choco, Seeker of Paradise","rare","Creature","0.49","0.34","0.54","0.31","0.3","0.02","0.43157894736842106","19974"
"76","U,R","3","Ghyrson Starn, Kelermorph","rare","Creature","42.99","34.31","42.85","27.62","42.5","11.27","1.1089494163424138","19878"
"77","G,U,R","5","Xyris, the Writhing Storm","mythic","Creature","2.49","1.48","2.49","1","0.85","3.28","0.5000000000000001","19753"
"78","W,U,B,R,G","5","The First Sliver","mythic","Creature","34.99","29.66","32.14","27.72","43.67","0.02","1.66078431372549","19739"
"79","B,G,U","4","Kotis, the Fangkeeper","rare","Creature","0.49","0.36","0.54","0.19","0.28","0.02","0.8392857142857141","19729"
"80","R,W,B","3","Terra, Herald of Hope","mythic","Creature","0.99","1.26","1.06","0.73","0.27","1.84","0.46808510638297873","19665"
"81","W,U,B,R,G","3","Terra, Magical Adept","mythic","Creature","2.49","2.22","2.49","0.02","2.33","0.02","0.5535714285714285","19481"
"82","B,R,G","4","Auntie Ool, Cursewretch","mythic","Creature","0.99","0.36","0.71","0.32","0.43","undefined","undefined","19373"
"83","W,B,G","5","Betor, Ancestor's Voice","mythic","Creature","0.99","3.67","1.06","1.77","1.57","undefined","0.37931034482758635","19368"
"84","W,U,B,R,G","3","Sisay, Weatherlight Captain","rare","Creature","2.49","2.58","2.49","1.41","2.02","0.02","0.9832089552238806","19098"
"85","U,R,W","3","Kilo, Apogee Mind","mythic","Creature","0.99","2.19","1.06","0.5","0.53","2","0.39215686274509803","19046"
"86","W,B","3","Eriette of the Charmed Apple","mythic","Creature","0.99","0.37","0.71","0.6","0.47","0.02","0.4897959183673469","19021"
"87","B,R,G","3","Henzie ""Toolbox"" Torre","mythic","Creature","0.99","0.99","1.06","0.11","1.01","3.06","0.6875","18754"
"88","R,W","2","Ragost, Deft Gastronaut","rare","Creature","0.49","0.33","0.54","0.2","0.28","0.02","0.34579439252336447","18734"
"89","R,G,W,U","4","Omnath, Locus of Creation","mythic","Creature","4.49","4.17","4.99","2.27","3.71","0.64","1.0219298245614037","18619"
"90","U,B,R","2","Norman Osborn","mythic","Creature","17.99","18.1","18.57","9.62","10.46","0.14","0.7446808510638298","18543"
"91","U,B","5","Captain N'ghathrod","mythic","Creature","8.99","12.81","9.28","0.95","15.82","2.5","0.6000000000000002","18523"
"92","W,U,B,R,G","3","Urtet, Remnant of Memnarch","mythic","Creature","5.49","5.65","4.99","2.81","3.56","9.33","0.4666666666666667","18511"
"93","R,G,W","5","Voja, Jaws of the Conclave","mythic","Creature","9.49","10.2","9.99","10.64","10.94","14.49","1.6849593495934956","18484"
"94","W,U","2","Hope Estheim","rare","Creature","0.49","0.36","0.54","0.19","0.36","0.02","0.7567567567567566","18172"
"95","R","2","Magda, Brazen Outlaw","rare","Creature","11.99","10.89","12.14","2.63","7.09","0.02","0.8233532934131736","17927"
"96","W,U,B,R,G","2","Ezio Auditore da Firenze","mythic","Creature","3.99","3.19","3.56","4.08","4.07","0.02","0.6153846153846155","17858"
"97","U,B","4","Alela, Cunning Conqueror","mythic","Creature","22.99","13.79","20.71","9.88","10.89","5.55","0.8035714285714286","17826"
"98","U,R,W","3","Zinnia, Valley's Voice","mythic","Creature","0.99","0.44","0.71","0.49","0.24","undefined","0.7333333333333333","17816"
"99","W,U,B","4","Sidar Jabari of Zhalfir","mythic","Creature","0.99","0.55","1.06","0.33","0.57","1.74","0.6301652892561981","17790"
"100","U,B,R","4","Obeka, Splitter of Seconds","rare","Creature","0.49","0.27","0.54","0.17","0.15","0.02","0.6129032258064518","17767"
"101","B,G","4","High Perfect Morcant","rare","Creature","2.99","1.61","2.85","0.96","1.39","0.02","undefined","17728"
"102","W,U,B","5","Marneus Calgar","mythic","Creature","14.99","13","14.99","3.72","16.14","undefined","0.8688524590163934","17683"
"103","G,W,U,B","7","Atraxa, Grand Unifier","mythic","Creature","29.99","18.48","32.14","19.13","25.66","8.03","1.5545286506469504","17598"
"104","W,U,B","4","Aminatou, Veil Piercer","mythic","Creature","0.99","0.6","1.06","0.87","0.58","2","0.43478260869565216","17219"
"105","B,R","4","Deadpool, Trading Card","mythic","Creature","17.99","18.87","18.57","18.12","18.57","undefined","1.9012345679012346","17200"
"106","R,G","7","Etali, Primal Conqueror","rare","Creature","34.99","25.94","35.71","20.65","31.47","0.02","1.6455172413793104","17152"
"107","G,U","6","Aesi, Tyrant of Gyre Strait","mythic","Creature","16.99","11.22","15.71","11.05","13.16","7.78","1.126162018592299","17135"
"108","W,U,B","4","Zur the Enchanter","rare","Creature","1.49","1.06","1.42","0.5","1.03","0.02","1.1627486437613022","17100"
"109","B,G","8","Witherbloom, the Balancer","mythic","Creature","4.99","3.85","4.99","2.8","4.75","0.12","undefined","17097"
"110","W,U,B","6","Urza, Chief Artificer","mythic","Creature","1.49","5.66","1.42","2.08","3.3","1.69","0.6896551724137933","17025"
"111","W,U,B","4","Alela, Artful Provocateur","mythic","Creature","0.99","0.39","1.06","0.44","0.62","0.02","0.4999999999999998","16875"
"112","W,U","2","Mendicant Core, Guidelight","rare","Creature","0.79","0.74","0.71","0.58","0.73","0.02","0.4578313253012048","16855"
"113","G,W,U","5","Galadriel, Light of Valinor","mythic","Creature","24.99","27","28.57","23.34","31.03","0.58","0.5633802816901409","16828"
"114","W,U,B","4","Jin Sakai, Ghost of Tsushima","mythic","Creature","119.99","101.46","121.43","88.98","85.14","undefined","undefined","16480"
"115","G,U,R","4","Storm, Force of Nature","mythic","Creature","4.99","5.46","4.99","4.55","5.08","2.08","1.913978494623656","16429"
"116","G","2","Fynn, the Fangbearer","uncommon","Creature","0.39","0.2","0.35","0.11","0.12","0.03","1.15","16165"
"117","W,U,B,R,G","7","Morophon, the Boundless","mythic","Creature","8.99","8.29","9.28","2.67","4.36","0.02","0.6666666666666662","16157"
"118","U,R,W","3","Captain America, First Avenger","mythic","Creature","6.49","7.2","7.14","5.02","4.91","2.19","0.8962264150943396","15977"
"119","R,G,W,U","4","Kynaios and Tiro of Meletis","mythic","Creature","8.99","9.02","9.28","4.96","7.04","1.05","0.05","15807"
"120","G,U","4","Zimone, Mystery Unraveler","mythic","Creature","0.99","0.46","1.06","0.63","0.28","undefined","0.36","15795"
"121","R,G","3","Tovolar, Dire Overlord","rare","Creature","0.99","0.44","1.06","0.51","0.59","0.02","0.375","15783"
"122","U,R","6","Niv-Mizzet, Parun","rare","Creature","5.49","0.75","4.99","2.29","2.55","0.02","1.2683246073298424","15762"
"123","R","4","Zada, Hedron Grinder","uncommon","Creature","0.35","0.13","0.35","0.11","0.12","0.02","0.7666666666666667","15674"
"124","U,B,R","6","Be'lakor, the Dark Master","mythic","Creature","5.99","4.11","5.71","4.73","2.88","undefined","0.23809523809523808","15642"
"125","G","2","Tifa Lockhart","rare","Creature","3.99","2.99","4.28","1.93","2.4","0.02","1.0990099009900995","15439"
"126","W,U,B,R,G","5","Marina Vendrell","rare","Creature","0.49","0.24","0.35","0.17","0.14","0.02","0.1263157894736841","15281"
"127","G,U,R","4","Magus Lucea Kane","mythic","Creature","5.99","4.12","5.71","3.98","4.8","undefined","0.5555555555555556","15183"
"128","U,R,W","5","Éowyn, Shieldmaiden","mythic","Creature","0.99","0.39","1.06","0.76","0.5","1.28","0.18518518518518517","15181"
"129","W,U","4","Brago, King Eternal","rare","Creature","4.49","2.94","3.56","2.13","2.64","0.02","0.9805555555555551","15124"
"130","U,B","5","Lord of the Nazgûl","rare","Creature","5.49","3.82","5.71","3.81","4.31","2.91","0.3917525773195876","15097"
"131","G,U,R","6","Iroh, Grand Lotus","rare","Creature","0.49","0.39","0.54","0.19","0.19","0.02","undefined","14945"
"132","U,R,W","4","Satya, Aetherflux Genius","mythic","Creature","0.99","0.28","0.71","0.24","0.13","0.02","0.36363636363636365","14899"
"133","R,W","3","Lightning, Army of One","mythic","Creature","12.99","10.32","12.85","8.26","8.66","0.02","0.7857142857142857","14809"
"134","R,G","3","Kibo, Uktabi Prince","mythic","Creature","7.49","7.88","7.14","0.86","4.61","undefined","0.43478260869565216","14772"
"135","U,B","3","Satoru Umezawa","rare","Creature","0.79","0.58","0.71","0.37","0.5","0.02","0.8","14647"
"136","G,U,R","3","Eshki, Temur's Roar","mythic","Creature","1.49","2.3","1.42","2.03","0.9","undefined","0.4757281553398059","14493"
"137","U,B,R","5","Inalla, Archmage Ritualist","mythic","Creature","2.79","4.07","2.85","1.17","6.35","1.71","0.9333333333333333","14456"
"138","W,U,B,R,G","5","Omnath, Locus of All","rare","Creature","0.49","0.45","0.54","0.22","0.19","0.02","0.5294117647058825","14304"
"139","B,R","4","Prosper, Tome-Bound","mythic","Creature","7.49","5.12","8.57","7.3","8.46","5.41","0.8202054794520551","14300"
"140","U,R,W","4","Kykar, Wind's Fury","rare","Creature","0.79","0.44","0.71","0.48","0.53","0.02","0.5660377358490566","14295"
"141","B","5","Marrow-Gnawer","rare","Creature","27.99","13.99","25","0.46","18.27","0.02","0.584070796460177","14281"
"142","U,B","5","The Scarab God","mythic","Creature","5.99","2.97","5.71","3.88","3.48","0.02","0.755952380952381","14243"
"143","U","4","Eluge, the Shoreless Sea","mythic","Creature","5.99","5.11","5.71","2.65","5.06","0.02","0.7439024390243902","14225"
"144","R,W","4","Winota, Joiner of Forces","mythic","Creature","5.49","4.34","4.99","2.24","5.75","0.02","1.848659003831418","14208"
"145","G,W","2","Sythis, Harvest's Hand","rare","Creature","4.99","3.64","4.99","2.86","3.51","0.02","0.9657794676806084","14187"
"146","U,B,R","4","Marchesa, the Black Rose","rare","Creature","1.99","1.58","2.14","1.01","1.59","0.02","0.6964285714285714","14067"
"147","W,U,B,R,G","3","Najeela, the Blade-Blossom","mythic","Creature","4.99","7.23","4.99","3.05","5.88","0.18","1.2899786780383804","14014"
"148","W,U","4","Grand Arbiter Augustin IV","rare","Creature","17.99","18.11","17.85","5.71","12.21","0.02","2.5782537067545293","13997"
"149","W,U,B","5","Temmet, Naktamun's Will","mythic","Creature","0.99","0.38","1.06","0.77","0.36","undefined","0.3018867924528302","13918"
"150","W,U,B,R,G","7","Tiamat","mythic","Creature","23.99","23.02","25","17.62","24.4","0.02","0.9565217391304348","13848"
"151","W,U,B,R,G","3","Azlask, the Swelling Scourge","mythic","Creature","0.99","0.36","0.71","0.32","0.25","0.02","0.782608695652174","13817"
"152","W,U,B,R,G","5","Cosmic Spider-Man","mythic","Creature","2.79","3.19","2.49","1.54","2","0.02","1.2282608695652169","13801"
"153","B,G","6","Shelob, Child of Ungoliant","rare","Creature","2.49","1.89","2.49","0.77","0.71","0.02","0.4","13724"
"154","U,R,W","3","Inspirit, Flagship Vessel","mythic","Artifact","0.99","1.33","1.06","0.75","0.38","undefined","0.4411764705882353","13509"
"155","R,W","3","Feather, the Redeemed","rare","Creature","1.29","0.94","1.42","0.52","0.58","0.02","0.896551724137931","13496"
"156","R,G,W","3","Rocco, Street Chef","rare","Creature","0.79","0.42","0.71","0.32","0.27","0.02","0.05","13449"
"157","W,B,G","5","Anikthea, Hand of Erebos","mythic","Creature","3.99","7.74","4.28","4.62","7.6","2.02","0.38596491228070173","13359"
"158","U,R","3","Atreus, Impulsive Son // Kratos, Stoic Father","mythic","Creature","3.49","4.86","4.28","3.16","2.29","undefined","undefined","13348"
"159","B,G","5","Rendmaw, Creaking Nest","mythic","Creature","0.99","1.23","1.06","0.6","0.45","undefined","0.3613445378151261","13327"
"160","G,U","3","Omo, Queen of Vesuva","mythic","Creature","0.99","0.31","1.06","0.02","0.18","0.03","0.42857142857142855","13316"
"161","R,W,B","3","Fire Lord Zuko","rare","Creature","0.49","0.42","0.54","0.27","0.25","0.02","undefined","13298"
"162","B,G,U","5","Yarok, the Desecrated","mythic","Creature","0.99","0.35","1.06","0.49","0.4","0.02","0.7236842105263158","13209"
"163","U,B,R","5","Edward Kenway","mythic","Creature","12.99","7.06","13.57","6.64","7.08","0.02","0.4","13083"
"164","W,B","5","Liesa, Shroud of Dusk","rare","Creature","0.79","0.67","0.71","0.76","1.19","5.31","0.7988165680473372","13048"
"165","W,B,G","4","Doran, Besieged by Time","rare","Creature","0.49","0.63","0.54","0.44","0.5","0.02","undefined","13040"
"166","U,B,R","5","Dr. Eggman","mythic","Creature","1.99","1.63","2.14","1.23","1.1","undefined","0.7087378640776699","13019"
"167","W,U,B,R,G","6","Ramos, Dragon Engine","mythic","Creature","1.29","0.39","1.42","0.65","0.45","0.02","0.4666666666666667","12985"
"168","W,U,B","6","Tivit, Seller of Secrets","mythic","Creature","5.99","4.29","4.28","4.4","7.05","15.46","1.2500000000000007","12973"
"169","G","3","Shroofus Sproutsire","rare","Creature","9.49","5.31","9.99","4.92","5.46","5.14","0.3","12915"
"170","U,B","4","Jon Irenicus, Shattered One","rare","Creature","0.49","0.26","0.54","0.21","0.21","5.99","0.782608695652174","12868"
"171","R,G","3","Wolverine, Best There Is","mythic","Creature","18.99","19.8","19.28","9.64","11.11","2.13","1.0918367346938769","12834"
"172","U,B","4","Vren, the Relentless","rare","Creature","0.99","0.41","0.71","0.45","0.42","0.02","0.5","12830"
"173","B,G","3","Blech, Loafing Pest","rare","Creature","0.49","0.4","0.54","0.15","0.42","0.02","undefined","12803"
"174","U","3","The Mindskinner","rare","Creature","3.49","2.84","3.21","0.78","1.09","0.02","0.7453703703703701","12802"
"175","W,U,B","3","Sefris of the Hidden Ways","mythic","Creature","1.29","0.59","1.42","0.43","0.84","8.93","0.47058823529411764","12783"
"176","B","5","Tergrid, God of Fright","rare","Creature","22.99","17.73","22.85","14.26","21.73","0.02","2.8022959183673457","12753"
"177","B,R,G","4","Yurlok of Scorch Thrash","rare","Creature","0.49","0.36","0.54","0.26","0.19","1.48","0.8235294117647058","12631"
"178","U,B","2","Golbez, Crystal Collector","rare","Creature","0.49","0.34","0.54","0.32","0.58","0.02","0.14130434782608695","12600"
"179","W,U","4","Hylda of the Icy Crown","mythic","Creature","5.49","3.92","4.99","1.75","2.87","0.02","0.5789473684210527","12573"
"180","B,R,G","5","Disa the Restless","mythic","Creature","0.99","0.13","0.71","0.15","0.12","0.02","0.5238095238095238","12555"
"181","U,B,R","4","Wick, the Whorled Mind","rare","Creature","0.49","0.26","0.35","0.22","0.11","0.02","0.47058823529411764","12500"
"182","U,R,W","4","Zedruu the Greathearted","mythic","Creature","3.99","2.37","3.56","1.42","2.72","1.47","0.9375","12453"
"183","W","2","Light-Paws, Emperor's Voice","rare","Creature","4.49","1.97","3.56","4.67","3.03","0.02","1.1727941176470584","12383"
"184","B,G","4","Hazel of the Rootbloom","mythic","Creature","3.49","4.07","3.56","3.56","2.24","undefined","0.31111111111111117","12372"
"185","U,R","3","Stella Lee, Wild Card","mythic","Creature","4.99","5.24","5.71","4.26","4.9","undefined","0.9811320754716986","12362"
"186","W","5","Anti-Venom, Horrifying Healer","mythic","Creature","9.49","6.63","9.28","3.59","4.05","0.12","1.0099999999999998","12236"
"187","B,R","5","Judith, Carnage Connoisseur","rare","Creature","0.49","0.34","0.54","0.34","0.29","0.02","0.6216216216216216","12168"
"188","B","4","Sheoldred, the Apocalypse","mythic","Creature","119.99","77.59","121.43","68","98.19","6.67","2.033163265306124","12107"
"189","R,W,B","4","Celes, Rune Knight","mythic","Creature","0.99","1.87","1.06","0.73","0.27","1.63","0.2909090909090909","12079"
"190","U,R,W","4","Sonic the Hedgehog","mythic","Creature","2.79","3.31","2.85","1.89","2.08","undefined","0.8214285714285714","12015"
"191","U,R","5","Kraum, Ludevic's Opus // Tymna the Weaver","rare","Creature","5.49","7.29","5.71","2.5","6.37","0.62","0.6699999999999996","11946"
"192","W,U,B","4","Varina, Lich Queen","rare","Creature","3.99","3.26","4.28","0.34","2.84","0.26","0.4444444444444444","11946"
"193","G","4","Kona, Rescue Beastie","rare","Creature","1.99","1.11","2.14","0.64","0.9","0.02","0.7095238095238093","11931"
"194","U,R","4","Captain Howler, Sea Scourge","rare","Creature","0.59","0.35","0.54","0.28","0.32","0.02","0.28695652173913044","11886"
"195","W,B,G","4","Thalia and The Gitrog Monster","mythic","Creature","6.99","5.47","6.42","2.73","3.26","0.02","1.0108892921960093","11880"
"196","G,W,U","3","Derevi, Empyrial Tactician","mythic","Creature","7.49","6.13","7.85","2.42","6.71","7.64","1.4210526315789471","11864"
"197","B,R","4","Shadow the Hedgehog","mythic","Creature","6.49","6.96","6.42","3.57","3.56","undefined","1.019230769230769","11861"
"198","B,R,G","3","Indoraptor, the Perfect Hybrid","rare","Creature","20.99","24.87","20.71","15.85","20.17","4.1","0.7222222222222222","11788"
"199","G,W","5","Arahbo, Roar of the World","mythic","Creature","37.99","33.69","35.71","undefined","40.33","0.47","0.7142857142857143","11766"
"200","R,W","3","The Jolly Balloon Man","rare","Creature","0.99","0.57","1.42","0.34","0.54","0.02","0.3924731182795699","11761"
"201","G,U","2","Thrasios, Triton Hero // Tymna the Weaver","rare","Creature","23.99","24.55","24.28","14.85","27.39","3.25","1.343648208469055","11685"
"202","U,R","7","Ovika, Enigma Goliath","rare","Creature","0.49","0.21","0.54","0.22","0.16","0.02","0.47058823529411764","11514"
"203","G,W,U","4","Yuna, Grand Summoner","mythic","Creature","0.99","3.23","1.06","1.16","0.51","1.49","0.3928571428571429","11432"
"204","U,B","5","Umbris, Fear Manifest","mythic","Creature","13.99","12.2","13.57","5.91","7.14","0.17","0.14285714285714285","11430"
